campaign_id,campaign_name,channel,start_date,budget,target_segment
474,Campaign 0474,Social Media,2024-10-02,30790.27,All
475,Campaign 0475,Display,2023-09-08,49927.7,Silver
476,Campaign 0476,Search,2023-06-23,88450.12,All
477,Campaign 0477,Affiliate,2024-12-15,66790.01,Standard
478,Campaign 0478,Email,2023-10-25,70716.32,Standard
479,Campaign 0479,Email,2024-11-14,82092.19,All
480,Campaign 0480,Social Media,2023-07-08,42588.93,Silver
481,Campaign 0481,Display,2024-12-15,31656.48,Gold
482,Campaign 0482,Social Media,2023-03-01,15252.22,Standard
483,Campaign 0483,Social Media,2024-10-31,32964.52,Standard
484,Campaign 0484,Display,2025-06-28,92230.27,Platinum
485,Campaign 0485,Display,2023-11-04,99979.23,All
486,Campaign 0486,Affiliate,2023-12-14,37236.79,All
487,Campaign 0487,Search,2025-04-10,59206.84,Platinum
488,Campaign 0488,Affiliate,2024-01-02,89959.37,Gold
489,Campaign 0489,Social Media,2024-10-15,21412.68,Standard
490,Campaign 0490,Display,2024-02-01,5347.18,All
491,Campaign 0491,Email,2024-08-12,60751.84,All
492,Campaign 0492,Affiliate,2024-07-12,96693.35,Gold
493,Campaign 0493,Search,2025-05-17,34703.66,All
494,Campaign 0494,Social Media,2024-06-23,11890.76,Standard
495,Campaign 0495,Social Media,2023-03-15,98874.71,Gold
496,Campaign 0496,Search,2025-07-09,63077.53,Silver
497,Campaign 0497,Display,2024-05-06,14524.01,All
498,Campaign 0498,Social Media,2024-10-07,19942.72,All
499,Campaign 0499,Search,2023-07-12,16893.65,Silver
500,Campaign 0500,Social Media,2024-06-14,5838.1,Standard
